timestamp,plot_id,temperature,humidity,moisture,source
3/31/2025,1,22.49,70.19,35.51,synthetic_baseline
1/20/2025,2,19.7,46.79,37.81,synthetic_baseline
4/26/2025,3,23.84,65.68,23.96,synthetic_baseline
4/24/2025,1,21.79,56.8,23.47,synthetic_baseline
7/14/2025,2,20.89,47.48,43.04,synthetic_baseline
7/31/2025,3,23.4,54.14,35.56,synthetic_baseline
3/3/2025,1,25.06,50.27,24.21,synthetic_baseline
11/1/2025,2,24.49,71.2,54.17,synthetic_baseline
8/25/2025,3,22.5,76.35,45.24,synthetic_baseline
5/17/2025,1,22.22,72.36,53.46,synthetic_baseline
10/23/2025,2,19.01,62.53,27.26,synthetic_baseline
6/17/2025,3,21.57,74.34,34.04,synthetic_baseline
2/1/2025,1,25.63,54.3,50.68,synthetic_baseline
4/26/2025,2,25.48,71.41,32.91,synthetic_baseline
11/9/2025,3,22.41,79.46,44.76,synthetic_baseline
11/10/2025,1,27.99,46.88,20.52,synthetic_baseline
12/20/2024,2,24.25,66.7,30.83,synthetic_baseline
1/20/2025,3,23.43,62.18,47.5,synthetic_baseline
6/28/2025,1,27.22,59.35,46.65,synthetic_baseline
2/5/2025,2,24.49,67.35,28.82,synthetic_baseline
4/17/2025,3,19.58,68.32,54.13,synthetic_baseline
9/2/2025,1,27.9,54.73,41.42,synthetic_baseline
7/19/2025,2,22.79,56.78,47.76,synthetic_baseline
5/5/2025,3,21.23,67.54,28.97,synthetic_baseline
12/9/2025,1,24.67,79.72,38.57,synthetic_baseline
6/12/2025,2,21.07,66.29,50.7,synthetic_baseline
8/27/2025,3,25.75,64.21,41.56,synthetic_baseline
3/14/2025,1,25.36,54.96,45.02,synthetic_baseline
12/14/2024,2,22.05,48.12,27.34,synthetic_baseline
2/27/2025,3,18.5,57.89,33.58,synthetic_baseline
5/24/2025,1,24.05,66.96,23.19,synthetic_baseline
12/28/2024,2,21.49,60.86,21.53,synthetic_baseline
12/15/2024,3,27.54,60.87,30.47,synthetic_baseline
6/4/2025,1,20.49,69.15,50.24,synthetic_baseline
6/5/2025,2,27.4,46.52,30.03,synthetic_baseline
6/21/2025,3,23.14,66.5,36.8,synthetic_baseline
8/6/2025,1,23.48,75.67,27.89,synthetic_baseline
9/15/2025,2,21.6,60.98,26.81,synthetic_baseline
8/20/2025,3,18.74,73.86,25.65,synthetic_baseline
1/24/2025,1,26.57,62.04,21.2,synthetic_baseline
10/12/2025,2,22.49,47.71,22.83,synthetic_baseline
5/5/2025,3,19.67,79.33,20.67,synthetic_baseline
6/6/2025,1,22.95,47.95,32.04,synthetic_baseline
4/2/2025,2,23.6,56.83,37.31,synthetic_baseline
6/24/2025,3,22.01,69.17,47.16,synthetic_baseline
8/20/2025,1,23.99,76.36,36.07,synthetic_baseline
9/1/2025,2,27.24,51.46,46.93,synthetic_baseline
5/14/2025,3,27.53,71.34,44.9,synthetic_baseline
1/20/2025,1,21.62,77.84,42.08,synthetic_baseline
6/19/2025,2,21.4,78.27,26.08,synthetic_baseline
3/22/2025,3,18.03,66.68,25.72,synthetic_baseline
6/30/2025,1,26.07,48.4,33.46,synthetic_baseline
3/5/2025,2,19.2,47.95,24.44,synthetic_baseline
11/24/2025,3,19.14,48.88,30.58,synthetic_baseline
2/18/2025,1,20.56,58.14,41.56,synthetic_baseline
11/15/2025,2,21.1,46.32,39.44,synthetic_baseline
11/1/2025,3,26.97,52.09,32.15,synthetic_baseline
9/20/2025,1,24.24,58.93,47.61,synthetic_baseline
10/28/2025,2,21.54,57.1,48.7,synthetic_baseline
1/10/2025,3,22.34,57.87,49.81,synthetic_baseline
7/16/2025,1,19.52,79.97,31.69,synthetic_baseline
8/22/2025,2,20.65,77.4,25.89,synthetic_baseline
8/10/2025,3,23.0,79.09,53.4,synthetic_baseline
2/10/2025,1,21.16,47.67,38.15,synthetic_baseline
10/20/2025,2,25.7,79.52,27.56,synthetic_baseline
11/21/2025,3,22.24,77.02,47.47,synthetic_baseline
1/24/2025,1,18.79,50.72,52.34,synthetic_baseline
1/16/2025,2,23.7,58.95,38.34,synthetic_baseline
